1
 PROGRAM ACPGB                            DATE= 0: 0:   0  TIME= 0: 0: 0
 Visibility keys, face of accretion disk
 Visibility keys component    1
    1    1
 -0.087
    2   49
 -0.087 -0.095 -0.104 -0.112 -0.119 -0.126 -0.133 -0.139 -0.143 -0.147
 -0.150 -0.151 -0.152 -0.151 -0.150 -0.147 -0.143 -0.139 -0.133 -0.127
 -0.120 -0.112 -0.104 -0.096 -0.087 -0.079 -0.070 -0.062 -0.055 -0.047
 -0.041 -0.035 -0.031 -0.027 -0.024 -0.023 -0.022 -0.023 -0.024 -0.027
 -0.031 -0.035 -0.041 -0.047 -0.054 -0.062 -0.070 -0.078 -0.087
    3   49
 -0.086 -0.103 -0.120 -0.136 -0.151 -0.165 -0.178 -0.189 -0.199 -0.206
 -0.212 -0.215 -0.216 -0.215 -0.212 -0.206 -0.199 -0.189 -0.178 -0.165
 -0.151 -0.136 -0.120 -0.103 -0.087 -0.070 -0.053 -0.037 -0.022 -0.008
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000 -0.007 -0.021 -0.037 -0.053 -0.069 -0.086
    4   49
 -0.085 -0.111 -0.136 -0.160 -0.182 -0.203 -0.223 -0.239 -0.253 -0.265
 -0.273 -0.278 -0.279 -0.278 -0.273 -0.265 -0.254 -0.239 -0.223 -0.204
 -0.183 -0.160 -0.136 -0.111 -0.086 -0.060 -0.035 -0.011  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000 -0.011 -0.035 -0.060 -0.085
    5   49
 -0.084 -0.118 -0.151 -0.182 -0.213 -0.241 -0.266 -0.288 -0.307 -0.322
 -0.333 -0.339 -0.341 -0.339 -0.333 -0.322 -0.307 -0.288 -0.266 -0.241
 -0.213 -0.183 -0.151 -0.118 -0.084 -0.051 -0.018  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000 -0.017 -0.050 -0.084
    6   49
 -0.082 -0.124 -0.165 -0.205 -0.242 -0.277 -0.308 -0.336 -0.359 -0.378
 -0.391 -0.399 -0.402 -0.399 -0.391 -0.378 -0.359 -0.336 -0.309 -0.277
 -0.243 -0.205 -0.166 -0.125 -0.083 -0.041 -0.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.041 -0.082
    7   49
 -0.080 -0.130 -0.179 -0.226 -0.271 -0.312 -0.349 -0.382 -0.410 -0.432
 -0.448 -0.458 -0.461 -0.458 -0.448 -0.432 -0.410 -0.383 -0.350 -0.312
 -0.271 -0.226 -0.179 -0.131 -0.081 -0.031  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.031 -0.080
    8   49
 -0.078 -0.135 -0.192 -0.246 -0.298 -0.346 -0.389 -0.427 -0.459 -0.484
 -0.503 -0.514 -0.518 -0.514 -0.503 -0.485 -0.459 -0.427 -0.390 -0.346
 -0.298 -0.247 -0.192 -0.136 -0.079 -0.021  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.020 -0.078
    9   49
 -0.075 -0.140 -0.204 -0.266 -0.324 -0.378 -0.427 -0.470 -0.506 -0.535
 -0.556 -0.568 -0.573 -0.569 -0.556 -0.535 -0.506 -0.470 -0.428 -0.379
 -0.325 -0.266 -0.205 -0.141 -0.076 -0.011  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.010 -0.075
   10   49
 -0.072 -0.144 -0.215 -0.284 -0.349 -0.409 -0.463 -0.511 -0.551 -0.583
 -0.606 -0.620 -0.625 -0.620 -0.606 -0.583 -0.551 -0.511 -0.464 -0.409
 -0.349 -0.285 -0.216 -0.145 -0.073 -0.001  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.072
   11   49
 -0.069 -0.148 -0.226 -0.301 -0.372 -0.438 -0.497 -0.549 -0.593 -0.629
 -0.654 -0.670 -0.675 -0.670 -0.654 -0.629 -0.594 -0.550 -0.498 -0.438
 -0.373 -0.302 -0.227 -0.149 -0.070  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.069
   12   49
 -0.065 -0.151 -0.235 -0.316 -0.393 -0.465 -0.529 -0.586 -0.634 -0.672
 -0.699 -0.716 -0.722 -0.716 -0.699 -0.672 -0.634 -0.587 -0.530 -0.466
 -0.394 -0.317 -0.236 -0.152 -0.066  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.065
   13   49
 -0.061 -0.153 -0.244 -0.331 -0.413 -0.490 -0.559 -0.620 -0.671 -0.712
 -0.741 -0.759 -0.765 -0.759 -0.742 -0.712 -0.672 -0.620 -0.560 -0.491
 -0.414 -0.332 -0.245 -0.154 -0.062  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.061
   14   49
 -0.057 -0.155 -0.251 -0.344 -0.432 -0.513 -0.587 -0.651 -0.705 -0.749
 -0.780 -0.799 -0.806 -0.799 -0.780 -0.749 -0.706 -0.652 -0.587 -0.514
 -0.433 -0.345 -0.252 -0.156 -0.058  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.057
   15   49
 -0.053 -0.156 -0.257 -0.355 -0.448 -0.534 -0.612 -0.680 -0.737 -0.783
 -0.816 -0.836 -0.843 -0.836 -0.816 -0.783 -0.738 -0.680 -0.612 -0.535
 -0.449 -0.356 -0.258 -0.157 -0.054  1.000  1.000  1.000  1.000  1.000
