   49   49
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.67633   0.00000   0.11658
   0.68395   0.00000   0.11633
   0.68389   0.00100   0.11633
   0.68369   0.00197   0.11633
   0.68337   0.00292   0.11633
   0.68293   0.00381   0.11633
   0.68238   0.00464   0.11633
   0.68172   0.00539   0.11633
   0.68097   0.00605   0.11633
   0.68014   0.00660   0.11633
   0.67925   0.00704   0.11633
   0.67830   0.00737   0.11633
   0.67732   0.00756   0.11633
   0.67633   0.00762   0.11633
   0.67533   0.00756   0.11633
   0.67436   0.00737   0.11633
   0.67341   0.00704   0.11633
   0.67252   0.00660   0.11633
   0.67169   0.00605   0.11633
   0.67094   0.00539   0.11633
   0.67028   0.00464   0.11633
   0.66973   0.00381   0.11633
   0.66928   0.00292   0.11633
   0.66896   0.00197   0.11633
   0.66877   0.00100   0.11633
   0.66870   0.00000   0.11633
   0.66877  -0.00100   0.11633
   0.66896  -0.00197   0.11633
   0.66928  -0.00292   0.11633
   0.66973  -0.00381   0.11633
   0.67028  -0.00464   0.11633
   0.67094  -0.00539   0.11633
   0.67169  -0.00605   0.11633
   0.67252  -0.00660   0.11633
   0.67341  -0.00704   0.11633
   0.67436  -0.00737   0.11633
   0.67533  -0.00756   0.11633
   0.67633  -0.00762   0.11633
   0.67732  -0.00756   0.11633
   0.67830  -0.00737   0.11633
   0.67925  -0.00704   0.11633
   0.68014  -0.00660   0.11633
   0.68097  -0.00605   0.11633
   0.68172  -0.00539   0.11633
   0.68238  -0.00464   0.11633
   0.68293  -0.00381   0.11633
   0.68337  -0.00292   0.11633
   0.68369  -0.00197   0.11633
   0.68389  -0.00100   0.11633
   0.68395  -0.00000   0.11633
   0.69155   0.00000   0.11559
   0.69142   0.00199   0.11559
   0.69103   0.00394   0.11559
   0.69039   0.00582   0.11559
   0.68951   0.00761   0.11559
   0.68840   0.00926   0.11559
   0.68709   0.01076   0.11559
   0.68559   0.01207   0.11559
   0.68394   0.01318   0.11559
   0.68215   0.01406   0.11559
   0.68027   0.01470   0.11559
   0.67831   0.01509   0.11559
   0.67633   0.01522   0.11559
   0.67434   0.01509   0.11559
   0.67239   0.01470   0.11559
   0.67051   0.01406   0.11559
   0.66872   0.01318   0.11559
   0.66706   0.01207   0.11559
   0.66557   0.01076   0.11559
   0.66426   0.00926   0.11559
   0.66315   0.00761   0.11559
   0.66227   0.00582   0.11559
   0.66163   0.00394   0.11559
   0.66124   0.00199   0.11559
   0.66111   0.00000   0.11559
   0.66124  -0.00199   0.11559
   0.66163  -0.00394   0.11559
   0.66227  -0.00582   0.11559
   0.66315  -0.00761   0.11559
   0.66426  -0.00926   0.11559
   0.66557  -0.01076   0.11559
   0.66706  -0.01207   0.11559
   0.66872  -0.01318   0.11559
   0.67051  -0.01406   0.11559
   0.67239  -0.01470   0.11559
   0.67434  -0.01509   0.11559
   0.67633  -0.01522   0.11559
   0.67831  -0.01509   0.11559
   0.68027  -0.01470   0.11559
   0.68215  -0.01406   0.11559
   0.68394  -0.01318   0.11559
   0.68559  -0.01207   0.11559
   0.68709  -0.01076   0.11559
   0.68840  -0.00926   0.11559
   0.68951  -0.00761   0.11559
   0.69039  -0.00582   0.11559
   0.69103  -0.00394   0.11559
   0.69142  -0.00199   0.11559
   0.69155  -0.00000   0.11559
   0.69907   0.00000   0.11435
   0.69888   0.00297   0.11435
   0.69830   0.00589   0.11435
   0.69734   0.00870   0.11435
   0.69603   0.01137   0.11435
   0.69437   0.01385   0.11435
   0.69241   0.01608   0.11435
   0.69017   0.01804   0.11435
   0.68770   0.01970   0.11435
   0.68503   0.02101   0.11435
   0.68222   0.02197   0.11435
   0.67930   0.02255   0.11435
   0.67633   0.02275   0.11435
   0.67336   0.02255   0.11435
   0.67044   0.02197   0.11435
