Parameter optimization                                                            
 IT    BA1      BA2       GD1      GD2     VL3(1)     RFMG       SGMA     SGMAP   
********************************************************************************* 
  0  1.00000  1.00000   .25000   .25000   .000000     .00000   .000000   .000000  
  1  1.00000  1.00000   .25000   .25000   .000000     .00230   .009489   .007299  
  2  1.00000  1.00000   .25000   .25000   .000000    -.00060   .008480   .007313  
  3  1.00000  1.00000   .25000   .25000   .000000    -.00040   .008433   .007328  
  4  1.00000  1.00000   .25000   .25000   .000000    -.00010   .008446   .007334  
  5  1.00000  1.00000   .25000   .25000   .000000     .00000   .008454   .007340  
  6  1.00000  1.00000   .25000   .25000   .000000     .00000   .008454   .007340  
  7  1.00000  1.00000   .25000   .25000   .000000     .00000   .008454   .007340  
  8  1.00000  1.00000   .25000   .25000   .000000     .00000   .008454   .007340  
  9  1.00000  1.00000   .25000   .25000   .000000     .00000   .008454   .007340  
 10  1.00000  1.00000   .25000   .25000   .000000     .00000   .008454   .007340  
