   49   49
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.32367   0.00000   0.06457
  -0.31771   0.00596   0.06402
  -0.31854   0.00669   0.06402
  -0.31946   0.00730   0.06402
  -0.32045   0.00779   0.06402
  -0.32149   0.00814   0.06402
  -0.32257   0.00836   0.06402
  -0.32367   0.00843   0.06402
  -0.32477   0.00836   0.06402
  -0.32585   0.00814   0.06402
  -0.32690   0.00779   0.06402
  -0.32789   0.00730   0.06402
  -0.32880   0.00669   0.06402
  -0.32963   0.00596   0.06402
  -0.31276   0.00630   0.06333
  -0.31368   0.00767   0.06333
  -0.31476   0.00891   0.06333
  -0.31600   0.00999   0.06333
  -0.31737   0.01091   0.06333
  -0.31885   0.01164   0.06333
  -0.32041   0.01217   0.06333
  -0.32203   0.01249   0.06333
  -0.32367   0.01260   0.06333
  -0.32532   0.01249   0.06333
  -0.32693   0.01217   0.06333
  -0.32849   0.01164   0.06333
  -0.32997   0.01091   0.06333
  -0.33134   0.00999   0.06333
  -0.33258   0.00891   0.06333
  -0.33367   0.00767   0.06333
  -0.33458   0.00630   0.06333
  -0.30823   0.00640   0.06238
  -0.30920   0.00836   0.06238
  -0.31041   0.01017   0.06238
  -0.31185   0.01182   0.06238
  -0.31350   0.01326   0.06237
  -0.31531   0.01447   0.06237
  -0.31728   0.01544   0.06237
  -0.31935   0.01614   0.06237
  -0.32149   0.01657   0.06237
  -0.32367   0.01671   0.06237
  -0.32585   0.01657   0.06237
  -0.32800   0.01614   0.06237
  -0.33007   0.01544   0.06237
  -0.33203   0.01447   0.06238
